PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;GxP refers to the regulations and guidelines that are applicable to life sciences organizations that make food and medical products. Medical products that fall under this include medicines, medical devices, and medical software applications. The overall intent of GxP requirements is to ensure that food and medical products are safe for consumers. It's also to ensure the integrity of data that's used to make product-related safety decisions.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;11.10-d;Persons who use closed systems to create, modify, maintain, or transmit electronic records shall employ procedures and controls designed to ensure the authenticity, integrity, and, when appropriate, the confidentiality of electronic records, and to ensure that the signer cannot readily repudiate the signed record as not genuine. Such procedures and controls shall include the following: (d) Limiting system access to authorized individuals.;11.10 Controls for closed systems;;;aws;;FAIL;IAM password policy does not require at least one lowercase letter.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_lowercase;False;213146990554;GxP-21-CFR-Part-11;GxP (Good Practices) 21 CFR Part 11;
aws;GxP refers to the regulations and guidelines that are applicable to life sciences organizations that make food and medical products. Medical products that fall under this include medicines, medical devices, and medical software applications. The overall intent of GxP requirements is to ensure that food and medical products are safe for consumers. It's also to ensure the integrity of data that's used to make product-related safety decisions.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;11.10-g;Persons who use closed systems to create, modify, maintain, or transmit electronic records shall employ procedures and controls designed to ensure the authenticity, integrity, and, when appropriate, the confidentiality of electronic records, and to ensure that the signer cannot readily repudiate the signed record as not genuine. Such procedures and controls shall include the following: (g) Use of authority checks to ensure that only authorized individuals can use the system, electronically sign a record, access the operation or computer system input or output device, alter a record, or perform the operation at hand.;11.10 Controls for closed systems;;;aws;;FAIL;IAM password policy does not require at least one lowercase letter.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_lowercase;False;213146990554;GxP-21-CFR-Part-11;GxP (Good Practices) 21 CFR Part 11;
aws;GxP refers to the regulations and guidelines that are applicable to life sciences organizations that make food and medical products. Medical products that fall under this include medicines, medical devices, and medical software applications. The overall intent of GxP requirements is to ensure that food and medical products are safe for consumers. It's also to ensure the integrity of data that's used to make product-related safety decisions.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;11.200;"(a) Electronic signatures that are not based upon biometrics shall: (1) Employ at least two distinct identification components such as an identification code and password. (i) When an individual executes a series of signings during a single, continuous period of controlled system access, the first signing shall be executed using all electronic signature components; subsequent signings shall be executed using at least one electronic signature component that is only executable by, and designed to be used only by, the individual. (ii) When an individual executes one or more signings not performed during a single, continuous period of controlled system access, each signing shall be executed using all of the electronic signature components. (2) Be used only by their genuine owners; and (3) Be administered and executed to ensure that attempted use of an individual's electronic signature by anyone other than its genuine owner requires collaboration of two or more individuals.";11.200 Electronic signature components and controls;;;aws;;FAIL;IAM password policy does not require at least one lowercase letter.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_lowercase;False;213146990554;GxP-21-CFR-Part-11;GxP (Good Practices) 21 CFR Part 11;
aws;GxP refers to the regulations and guidelines that are applicable to life sciences organizations that make food and medical products. Medical products that fall under this include medicines, medical devices, and medical software applications. The overall intent of GxP requirements is to ensure that food and medical products are safe for consumers. It's also to ensure the integrity of data that's used to make product-related safety decisions.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;11.300-b;Persons who use electronic signatures based upon use of identification codes in combination with passwords shall employ controls to ensure their security and integrity. Such controls shall include: (b) Ensuring that identification code and password issuances are periodically checked, recalled, or revised (e.g., to cover such events as password aging).;11.300 Controls for identification codes/passwords;;;aws;;FAIL;IAM password policy does not require at least one lowercase letter.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_lowercase;False;213146990554;GxP-21-CFR-Part-11;GxP (Good Practices) 21 CFR Part 11;
aws;GxP refers to the regulations and guidelines that are applicable to life sciences organizations that make food and medical products. Medical products that fall under this include medicines, medical devices, and medical software applications. The overall intent of GxP requirements is to ensure that food and medical products are safe for consumers. It's also to ensure the integrity of data that's used to make product-related safety decisions.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;11.10-d;Persons who use closed systems to create, modify, maintain, or transmit electronic records shall employ procedures and controls designed to ensure the authenticity, integrity, and, when appropriate, the confidentiality of electronic records, and to ensure that the signer cannot readily repudiate the signed record as not genuine. Such procedures and controls shall include the following: (d) Limiting system access to authorized individuals.;11.10 Controls for closed systems;;;aws;;FAIL;IAM password policy does not require minimum length of 14 characters.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_minimum_length_14;False;213146990554;GxP-21-CFR-Part-11;GxP (Good Practices) 21 CFR Part 11;
aws;GxP refers to the regulations and guidelines that are applicable to life sciences organizations that make food and medical products. Medical products that fall under this include medicines, medical devices, and medical software applications. The overall intent of GxP requirements is to ensure that food and medical products are safe for consumers. It's also to ensure the integrity of data that's used to make product-related safety decisions.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;11.10-g;Persons who use closed systems to create, modify, maintain, or transmit electronic records shall employ procedures and controls designed to ensure the authenticity, integrity, and, when appropriate, the confidentiality of electronic records, and to ensure that the signer cannot readily repudiate the signed record as not genuine. Such procedures and controls shall include the following: (g) Use of authority checks to ensure that only authorized individuals can use the system, electronically sign a record, access the operation or computer system input or output device, alter a record, or perform the operation at hand.;11.10 Controls for closed systems;;;aws;;FAIL;IAM password policy does not require minimum length of 14 characters.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_minimum_length_14;False;213146990554;GxP-21-CFR-Part-11;GxP (Good Practices) 21 CFR Part 11;
aws;GxP refers to the regulations and guidelines that are applicable to life sciences organizations that make food and medical products. Medical products that fall under this include medicines, medical devices, and medical software applications. The overall intent of GxP requirements is to ensure that food and medical products are safe for consumers. It's also to ensure the integrity of data that's used to make product-related safety decisions.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;11.200;"(a) Electronic signatures that are not based upon biometrics shall: (1) Employ at least two distinct identification components such as an identification code and password. (i) When an individual executes a series of signings during a single, continuous period of controlled system access, the first signing shall be executed using all electronic signature components; subsequent signings shall be executed using at least one electronic signature component that is only executable by, and designed to be used only by, the individual. (ii) When an individual executes one or more signings not performed during a single, continuous period of controlled system access, each signing shall be executed using all of the electronic signature components. (2) Be used only by their genuine owners; and (3) Be administered and executed to ensure that attempted use of an individual's electronic signature by anyone other than its genuine owner requires collaboration of two or more individuals.";11.200 Electronic signature components and controls;;;aws;;FAIL;IAM password policy does not require minimum length of 14 characters.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_minimum_length_14;False;213146990554;GxP-21-CFR-Part-11;GxP (Good Practices) 21 CFR Part 11;
aws;GxP refers to the regulations and guidelines that are applicable to life sciences organizations that make food and medical products. Medical products that fall under this include medicines, medical devices, and medical software applications. The overall intent of GxP requirements is to ensure that food and medical products are safe for consumers. It's also to ensure the integrity of data that's used to make product-related safety decisions.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;11.300-b;Persons who use electronic signatures based upon use of identification codes in combination with passwords shall employ controls to ensure their security and integrity. Such controls shall include: (b) Ensuring that identification code and password issuances are periodically checked, recalled, or revised (e.g., to cover such events as password aging).;11.300 Controls for identification codes/passwords;;;aws;;FAIL;IAM password policy does not require minimum length of 14 characters.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_minimum_length_14;False;213146990554;GxP-21-CFR-Part-11;GxP (Good Practices) 21 CFR Part 11;
aws;GxP refers to the regulations and guidelines that are applicable to life sciences organizations that make food and medical products. Medical products that fall under this include medicines, medical devices, and medical software applications. The overall intent of GxP requirements is to ensure that food and medical products are safe for consumers. It's also to ensure the integrity of data that's used to make product-related safety decisions.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;11.10-d;Persons who use closed systems to create, modify, maintain, or transmit electronic records shall employ procedures and controls designed to ensure the authenticity, integrity, and, when appropriate, the confidentiality of electronic records, and to ensure that the signer cannot readily repudiate the signed record as not genuine. Such procedures and controls shall include the following: (d) Limiting system access to authorized individuals.;11.10 Controls for closed systems;;;aws;;FAIL;IAM password policy does not require at least one number.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_number;False;213146990554;GxP-21-CFR-Part-11;GxP (Good Practices) 21 CFR Part 11;
aws;GxP refers to the regulations and guidelines that are applicable to life sciences organizations that make food and medical products. Medical products that fall under this include medicines, medical devices, and medical software applications. The overall intent of GxP requirements is to ensure that food and medical products are safe for consumers. It's also to ensure the integrity of data that's used to make product-related safety decisions.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;11.10-g;Persons who use closed systems to create, modify, maintain, or transmit electronic records shall employ procedures and controls designed to ensure the authenticity, integrity, and, when appropriate, the confidentiality of electronic records, and to ensure that the signer cannot readily repudiate the signed record as not genuine. Such procedures and controls shall include the following: (g) Use of authority checks to ensure that only authorized individuals can use the system, electronically sign a record, access the operation or computer system input or output device, alter a record, or perform the operation at hand.;11.10 Controls for closed systems;;;aws;;FAIL;IAM password policy does not require at least one number.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;iam_password_policy_number;False;213146990554;GxP-21-CFR-Part-11;GxP (Good Practices) 21 CFR Part 11;
