PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;ac_4;Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties.;Protect (PR);Identity Management and Access Control (PR.AC);;aws;;PASS;IAM Role Omico-2IDP does not have AmazonBedrockFullAccess policy attached.;arn:aws:iam::213146990554:role/Omico-2IDP;bedrock_full_access_policy_attached;False;Omico-2IDP;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;ac_5;Network integrity is protected (e.g., network segregation, network segmentation).;Protect (PR);Identity Management and Access Control (PR.AC);;aws;;FAIL;Security group launch-wizard-9 (sg-0e24f3f2bbca5b5fa) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e24f3f2bbca5b5fa;ec2_securitygroup_not_used;False;sg-0e24f3f2bbca5b5fa;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;ip_1;A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality).;Protect (PR);Information Protection Processes and Procedures (PR.IP);;aws;;FAIL;Security group launch-wizard-9 (sg-0e24f3f2bbca5b5fa) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e24f3f2bbca5b5fa;ec2_securitygroup_not_used;False;sg-0e24f3f2bbca5b5fa;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;ac_5;Network integrity is protected (e.g., network segregation, network segmentation).;Protect (PR);Identity Management and Access Control (PR.AC);;aws;;FAIL;Security group Kali Linux-2025.4-amd64-AutogenByAWSMP--1 (sg-0dd8eae2e1153c210) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0dd8eae2e1153c210;ec2_securitygroup_not_used;False;sg-0dd8eae2e1153c210;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;ip_1;A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality).;Protect (PR);Information Protection Processes and Procedures (PR.IP);;aws;;FAIL;Security group Kali Linux-2025.4-amd64-AutogenByAWSMP--1 (sg-0dd8eae2e1153c210) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0dd8eae2e1153c210;ec2_securitygroup_not_used;False;sg-0dd8eae2e1153c210;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;ac_5;Network integrity is protected (e.g., network segregation, network segmentation).;Protect (PR);Identity Management and Access Control (PR.AC);;aws;;FAIL;Security group launch-wizard-24 (sg-01b40d1c357914bca) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-01b40d1c357914bca;ec2_securitygroup_not_used;False;sg-01b40d1c357914bca;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;ip_1;A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality).;Protect (PR);Information Protection Processes and Procedures (PR.IP);;aws;;FAIL;Security group launch-wizard-24 (sg-01b40d1c357914bca) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-01b40d1c357914bca;ec2_securitygroup_not_used;False;sg-01b40d1c357914bca;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;ac_5;Network integrity is protected (e.g., network segregation, network segmentation).;Protect (PR);Identity Management and Access Control (PR.AC);;aws;;FAIL;Security group launch-wizard-14 (sg-00b892f9efa4e0814) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-00b892f9efa4e0814;ec2_securitygroup_not_used;False;sg-00b892f9efa4e0814;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;ip_1;A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality).;Protect (PR);Information Protection Processes and Procedures (PR.IP);;aws;;FAIL;Security group launch-wizard-14 (sg-00b892f9efa4e0814) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-00b892f9efa4e0814;ec2_securitygroup_not_used;False;sg-00b892f9efa4e0814;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
aws;The NIST Cybersecurity Framework (CSF) 2.0 offers a taxonomy of high-level cybersecurity outcomes that can be used by any organization regardless of its size, sector, or maturity to better understand, assess, prioritize, and communicate its cybersecurity efforts. The framework's core functions are organized into six key areas: Govern (new), Identify, Protect, Detect, Respond, and Recover. Together, these functions provide a comprehensive lifecycle approach to managing cybersecurity risk.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;ac_5;Network integrity is protected (e.g., network segregation, network segmentation).;Protect (PR);Identity Management and Access Control (PR.AC);;aws;;FAIL;Security group launch-wizard-15 (sg-0bc66643e651629dd) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0bc66643e651629dd;ec2_securitygroup_not_used;False;sg-0bc66643e651629dd;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v2.0;
