PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_CCMLITE;REQUIREMENTS_ATTRIBUTES_IAAS;REQUIREMENTS_ATTRIBUTES_PAAS;REQUIREMENTS_ATTRIBUTES_SAAS;REQUIREMENTS_ATTRIBUTES_SCOPEAPPLICABILITY;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;SEF-08;Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.;Security Incident Management, E-Discovery, & Cloud Forensics;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC2.3']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['SEF-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['17.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.6.2', '1.6.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SM2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 4.2', '27001: A.6.1.3', '27002: 6.1.3', '27017: 6.1.3', '27018: 6.1.3', '27001: A.16.1.1', '27002: 16.1.1', '27001: A.18.1.1', '27002: 18.1.1', '27017: 18.1.1', '27018: 18.1.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.5', '27001: A.5.24', '27002: 5.24 Incident management procedure (d)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IR-4', 'IR-4(8)', 'IR-6', 'IR-6(3)', 'IR-7', 'IR-7(2)', 'PM-21', 'PM-23', 'PM-26']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-2', 'RS.CO-3', 'RS.CO-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.RR-02', 'RS.CO-02', 'RS.CO-03']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.10.1']}];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::213146990554:root;213146990554;account_maintain_current_contact_details;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;SEF-08;Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities.;Security Incident Management, E-Discovery, & Cloud Forensics;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC2.3']}, {'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['SEF-01']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['17.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.6.2', '1.6.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SM2.2']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 4.2', '27001: A.6.1.3', '27002: 6.1.3', '27017: 6.1.3', '27018: 6.1.3', '27001: A.16.1.1', '27002: 16.1.1', '27001: A.18.1.1', '27002: 18.1.1', '27017: 18.1.1', '27018: 18.1.1']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.5', '27001: A.5.24', '27002: 5.24 Incident management procedure (d)']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IR-4', 'IR-4(8)', 'IR-6', 'IR-6(3)', 'IR-7', 'IR-7(2)', 'PM-21', 'PM-23', 'PM-26']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-2', 'RS.CO-3', 'RS.CO-4']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.RR-02', 'RS.CO-02', 'RS.CO-03']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['12.10.1']}];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::213146990554:root;213146990554;account_security_contact_information_is_registered;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;IAM-02;Establish, document, approve, communicate, implement, apply, evaluate and maintain strong password policies and procedures. Review and update the policies and procedures at least annually.;Identity & Access Management;No;Shared;Shared;Shared;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IAM-02', 'IAM-12', 'GRM-06', 'GRM-09']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['5.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.1.1', '1.5.1', '4.1.2', '4.1.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SA1.1', 'SA1.5']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5', '27002: 5', '27001: A.9.4.3', '27002: 9.4.3', '27017: 9.4.3', '27018: 9.4.3', '27001: A.9.2.4', '27002: 9.2.4', '27017: 9.2.4', '27001: A.7.2.2', '27002: 7.2.2', '27001: A.9.2.6', '27002: 9.2.6', '27001: A.9.2.3', '27002: 9.2.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5.1', '27001: A.5.4', '27001: A.5.17', '27001: A.6.3', '27001: A.8.5', '27001: A.5.37']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AC-2', 'AC-2(3)', 'AC-2(11)', 'AC-3', 'AC-3(3)', 'AC-12', 'AC-12(1)', 'IA-2', 'IA-2(10)', 'IA-5', 'IA-5(1)', 'IA-5(18)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-1', 'PR.AC-1', 'PR.AC-7']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.PO-01', 'GV.PO-02', 'ID.IM-03', 'PR.AA-03']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['8.4', '12.1', '12.1.1', '12.11']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['8.1.1', '8.3.8']}];FAIL;Password expiration is not set.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;213146990554;iam_password_policy_expires_passwords_within_90_days_or_less;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;IAM-15;Define, implement and evaluate processes, procedures and technical measures for the secure management of passwords.;Identity & Access Management;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC6.1', 'CC6.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['4.1.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SA1.5']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.9.2.4', '27002: 9.2.4', '27017: 9.2.4', '27018: 9.2.4', '27001: A.9.3.1', '27002: 9.3.1', '27017: 9.3.1', '27018: 9.3.1', '27001: A.9.4.3', '27002: 9.4.3', '27017: 9.4.3', '27018: 9.4.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.17']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IA-4', 'IA-4(8)', 'IA-5', 'IA-5(1)', 'IA-5(8)', 'IA-5(18)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-1']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-01']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['8.2', '8.2.1-6']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['2.2.2', '2.3.1', '8.3.5', '8.3.6', '8.3.7', '8.3.8', '8.3.9', '8.3.10', '8.3.10.1', '8.6.2']}];FAIL;Password expiration is not set.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;213146990554;iam_password_policy_expires_passwords_within_90_days_or_less;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;IAM-02;Establish, document, approve, communicate, implement, apply, evaluate and maintain strong password policies and procedures. Review and update the policies and procedures at least annually.;Identity & Access Management;No;Shared;Shared;Shared;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IAM-02', 'IAM-12', 'GRM-06', 'GRM-09']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['5.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.1.1', '1.5.1', '4.1.2', '4.1.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SA1.1', 'SA1.5']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5', '27002: 5', '27001: A.9.4.3', '27002: 9.4.3', '27017: 9.4.3', '27018: 9.4.3', '27001: A.9.2.4', '27002: 9.2.4', '27017: 9.2.4', '27001: A.7.2.2', '27002: 7.2.2', '27001: A.9.2.6', '27002: 9.2.6', '27001: A.9.2.3', '27002: 9.2.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5.1', '27001: A.5.4', '27001: A.5.17', '27001: A.6.3', '27001: A.8.5', '27001: A.5.37']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AC-2', 'AC-2(3)', 'AC-2(11)', 'AC-3', 'AC-3(3)', 'AC-12', 'AC-12(1)', 'IA-2', 'IA-2(10)', 'IA-5', 'IA-5(1)', 'IA-5(18)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-1', 'PR.AC-1', 'PR.AC-7']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.PO-01', 'GV.PO-02', 'ID.IM-03', 'PR.AA-03']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['8.4', '12.1', '12.1.1', '12.11']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['8.1.1', '8.3.8']}];FAIL;IAM password policy does not require at least one lowercase letter.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;213146990554;iam_password_policy_lowercase;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;IAM-02;Establish, document, approve, communicate, implement, apply, evaluate and maintain strong password policies and procedures. Review and update the policies and procedures at least annually.;Identity & Access Management;No;Shared;Shared;Shared;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IAM-02', 'IAM-12', 'GRM-06', 'GRM-09']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['5.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.1.1', '1.5.1', '4.1.2', '4.1.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SA1.1', 'SA1.5']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5', '27002: 5', '27001: A.9.4.3', '27002: 9.4.3', '27017: 9.4.3', '27018: 9.4.3', '27001: A.9.2.4', '27002: 9.2.4', '27017: 9.2.4', '27001: A.7.2.2', '27002: 7.2.2', '27001: A.9.2.6', '27002: 9.2.6', '27001: A.9.2.3', '27002: 9.2.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5.1', '27001: A.5.4', '27001: A.5.17', '27001: A.6.3', '27001: A.8.5', '27001: A.5.37']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AC-2', 'AC-2(3)', 'AC-2(11)', 'AC-3', 'AC-3(3)', 'AC-12', 'AC-12(1)', 'IA-2', 'IA-2(10)', 'IA-5', 'IA-5(1)', 'IA-5(18)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-1', 'PR.AC-1', 'PR.AC-7']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.PO-01', 'GV.PO-02', 'ID.IM-03', 'PR.AA-03']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['8.4', '12.1', '12.1.1', '12.11']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['8.1.1', '8.3.8']}];FAIL;IAM password policy does not require minimum length of 14 characters.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;213146990554;iam_password_policy_minimum_length_14;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;IAM-15;Define, implement and evaluate processes, procedures and technical measures for the secure management of passwords.;Identity & Access Management;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC6.1', 'CC6.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['4.1.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SA1.5']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.9.2.4', '27002: 9.2.4', '27017: 9.2.4', '27018: 9.2.4', '27001: A.9.3.1', '27002: 9.3.1', '27017: 9.3.1', '27018: 9.3.1', '27001: A.9.4.3', '27002: 9.4.3', '27017: 9.4.3', '27018: 9.4.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.17']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IA-4', 'IA-4(8)', 'IA-5', 'IA-5(1)', 'IA-5(8)', 'IA-5(18)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-1']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-01']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['8.2', '8.2.1-6']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['2.2.2', '2.3.1', '8.3.5', '8.3.6', '8.3.7', '8.3.8', '8.3.9', '8.3.10', '8.3.10.1', '8.6.2']}];FAIL;IAM password policy does not require minimum length of 14 characters.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;213146990554;iam_password_policy_minimum_length_14;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;IAM-02;Establish, document, approve, communicate, implement, apply, evaluate and maintain strong password policies and procedures. Review and update the policies and procedures at least annually.;Identity & Access Management;No;Shared;Shared;Shared;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IAM-02', 'IAM-12', 'GRM-06', 'GRM-09']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['5.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.1.1', '1.5.1', '4.1.2', '4.1.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SA1.1', 'SA1.5']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5', '27002: 5', '27001: A.9.4.3', '27002: 9.4.3', '27017: 9.4.3', '27018: 9.4.3', '27001: A.9.2.4', '27002: 9.2.4', '27017: 9.2.4', '27001: A.7.2.2', '27002: 7.2.2', '27001: A.9.2.6', '27002: 9.2.6', '27001: A.9.2.3', '27002: 9.2.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5.1', '27001: A.5.4', '27001: A.5.17', '27001: A.6.3', '27001: A.8.5', '27001: A.5.37']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AC-2', 'AC-2(3)', 'AC-2(11)', 'AC-3', 'AC-3(3)', 'AC-12', 'AC-12(1)', 'IA-2', 'IA-2(10)', 'IA-5', 'IA-5(1)', 'IA-5(18)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-1', 'PR.AC-1', 'PR.AC-7']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.PO-01', 'GV.PO-02', 'ID.IM-03', 'PR.AA-03']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['8.4', '12.1', '12.1.1', '12.11']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['8.1.1', '8.3.8']}];FAIL;IAM password policy does not require at least one number.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;213146990554;iam_password_policy_number;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;IAM-02;Establish, document, approve, communicate, implement, apply, evaluate and maintain strong password policies and procedures. Review and update the policies and procedures at least annually.;Identity & Access Management;No;Shared;Shared;Shared;[{'ReferenceId': 'CCM v3.0.1', 'Identifiers': ['IAM-02', 'IAM-12', 'GRM-06', 'GRM-09']}, {'ReferenceId': 'CIS v8.0', 'Identifiers': ['5.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['1.1.1', '1.5.1', '4.1.2', '4.1.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SA1.1', 'SA1.5']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5', '27002: 5', '27001: A.9.4.3', '27002: 9.4.3', '27017: 9.4.3', '27018: 9.4.3', '27001: A.9.2.4', '27002: 9.2.4', '27017: 9.2.4', '27001: A.7.2.2', '27002: 7.2.2', '27001: A.9.2.6', '27002: 9.2.6', '27001: A.9.2.3', '27002: 9.2.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: 5.1', '27001: 5.2', '27001: 7.3', '27001: 7.4', '27001: 7.5', '27001: 9.1', '27001: 9.3', '27001: A.5.1', '27001: A.5.4', '27001: A.5.17', '27001: A.6.3', '27001: A.8.5', '27001: A.5.37']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['AC-2', 'AC-2(3)', 'AC-2(11)', 'AC-3', 'AC-3(3)', 'AC-12', 'AC-12(1)', 'IA-2', 'IA-2(10)', 'IA-5', 'IA-5(1)', 'IA-5(18)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['ID.GV-1', 'PR.AC-1', 'PR.AC-7']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['GV.PO-01', 'GV.PO-02', 'ID.IM-03', 'PR.AA-03']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['8.4', '12.1', '12.1.1', '12.11']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['8.1.1', '8.3.8']}];FAIL;IAM password policy reuse prevention is less than 24 or not set.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;213146990554;iam_password_policy_reuse_24;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
aws;The Cloud Security Alliance (CSA) Cloud Controls Matrix (CCM) is a cybersecurity control framework for cloud computing, composed of 197 control objectives structured in 17 domains covering all key aspects of cloud technology. The CCM can be used as a tool for the systematic assessment of a cloud implementation, and provides guidance on which security controls should be implemented by which actor within the cloud supply chain.;213146990554;ap-southeast-2;2026-07-15 20:14:58.543427;IAM-15;Define, implement and evaluate processes, procedures and technical measures for the secure management of passwords.;Identity & Access Management;No;Shared;Shared;Shared;[{'ReferenceId': 'AICPA TSC 2017', 'Identifiers': ['CC6.1', 'CC6.2']}, {'ReferenceId': 'ENX ISA v6.0', 'Identifiers': ['4.1.3']}, {'ReferenceId': 'ISF SOGP 2022', 'Identifiers': ['SA1.5']}, {'ReferenceId': 'ISO/IEC 27001:2013,27002:2013,27017:2015,27018:2019', 'Identifiers': ['27001: A.9.2.4', '27002: 9.2.4', '27017: 9.2.4', '27018: 9.2.4', '27001: A.9.3.1', '27002: 9.3.1', '27017: 9.3.1', '27018: 9.3.1', '27001: A.9.4.3', '27002: 9.4.3', '27017: 9.4.3', '27018: 9.4.3']}, {'ReferenceId': 'ISO/IEC 27001:2022, 27002:2022', 'Identifiers': ['27001: A.5.17']}, {'ReferenceId': 'NIST 800-53 rev 5', 'Identifiers': ['IA-4', 'IA-4(8)', 'IA-5', 'IA-5(1)', 'IA-5(8)', 'IA-5(18)']}, {'ReferenceId': 'NIST CSF v1.1', 'Identifiers': ['PR.AC-1']}, {'ReferenceId': 'NIST CSF v2.0', 'Identifiers': ['PR.AA-01']}, {'ReferenceId': 'PCI DSS v3.2.1', 'Identifiers': ['8.2', '8.2.1-6']}, {'ReferenceId': 'PCI DSS v4.0', 'Identifiers': ['2.2.2', '2.3.1', '8.3.5', '8.3.6', '8.3.7', '8.3.8', '8.3.9', '8.3.10', '8.3.10.1', '8.6.2']}];FAIL;IAM password policy reuse prevention is less than 24 or not set.;arn:aws:iam:ap-southeast-2:213146990554:password-policy;213146990554;iam_password_policy_reuse_24;False;CSA-CCM;CSA Cloud Controls Matrix (CCM) v4.0.13
