PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;FAIL;Security group launch-wizard-9 (sg-0e24f3f2bbca5b5fa) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0e24f3f2bbca5b5fa;ec2_securitygroup_not_used;False;sg-0e24f3f2bbca5b5fa;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;FAIL;Security group Kali Linux-2025.4-amd64-AutogenByAWSMP--1 (sg-0dd8eae2e1153c210) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0dd8eae2e1153c210;ec2_securitygroup_not_used;False;sg-0dd8eae2e1153c210;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;FAIL;Security group launch-wizard-24 (sg-01b40d1c357914bca) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-01b40d1c357914bca;ec2_securitygroup_not_used;False;sg-01b40d1c357914bca;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;FAIL;Security group launch-wizard-14 (sg-00b892f9efa4e0814) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-00b892f9efa4e0814;ec2_securitygroup_not_used;False;sg-00b892f9efa4e0814;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;FAIL;Security group launch-wizard-15 (sg-0bc66643e651629dd) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0bc66643e651629dd;ec2_securitygroup_not_used;False;sg-0bc66643e651629dd;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;FAIL;Security group launch-wizard-12 (sg-04a9ab6d35a6a8de4) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-04a9ab6d35a6a8de4;ec2_securitygroup_not_used;False;sg-04a9ab6d35a6a8de4;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;FAIL;Security group Kali Linux-2026.1-amd64-AutogenByAWSMP--4 (sg-044ad0ea7338dbce0) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-044ad0ea7338dbce0;ec2_securitygroup_not_used;False;sg-044ad0ea7338dbce0;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;FAIL;Security group launch-wizard-28 (sg-0003161c3fb914627) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0003161c3fb914627;ec2_securitygroup_not_used;False;sg-0003161c3fb914627;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;FAIL;Security group Kali Linux-2026.1-amd64-AutogenByAWSMP--7 (sg-0b16338608e021959) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-0b16338608e021959;ec2_securitygroup_not_used;False;sg-0b16338608e021959;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
aws;The AWS Foundational Technical Review (FTR) assesses an AWS Partner's solution against a specific set of Amazon Web Services (AWS) best practices around security, performance, and operational processes that are most critical for customer success. Passing the FTR is required to qualify AWS Software Partners for AWS Partner Network (APN) programs such as AWS Competency and AWS Service Ready but any AWS Partner who offers a technology solution may request a FTR review through AWS Partner Central.;213146990554;ap-southeast-2;2026-07-14 16:40:35.360893;NETSEC-001;All Amazon EC2 security groups should restrict access to the greatest degree possible. At a minimum, do the following: Ensure that no security groups allow ingress from 0.0.0.0/0 to port 22 or 3389 (CIS 5.2) Ensure that the default security group of every VPC restricts all traffic (CIS 5.3/Security Control EC2.2);Architectural and Operational Controls;;;;Automated;FAIL;Security group Kali Linux-2026.1-amd64-AutogenByAWSMP--6 (sg-034bdb14753e85207) it is not being used.;arn:aws:ec2:ap-southeast-2:213146990554:security-group/sg-034bdb14753e85207;ec2_securitygroup_not_used;False;sg-034bdb14753e85207;AWS-Foundational-Technical-Review;AWS Foundational Technical Review;
